Software Name,Amit's Notes,Version ,Software Classification,Operating system,Self service,Licenses Required,GITSC Ticket number,Remarks,Category,Application Lead,Software Manufacturer,Packaged,OSD,Core O/S - Technical,Vulnerable,Approved date,Scanned date,Additional action,Action Details,GIS Reco Action,Comment ,Resource,Sarah's comment,,Tanium Name,Tanium Vendor,Tanium version,Defender Name,Defender Vendor,Dedender Lastest version,,WS1 Hub,WCS Managed Group Name,Comment,Exception based,Assignment Mode,Pushed Globally,Visible in HUB (Self Service),OLD License Required,To be checked,,Software name + Version,Publisher updated,Publisher on Oomnitza list review,Feedback,Software name to be loaded in Oomnitza,Version to be loaded in Oomintza,Final Software name,Final Version
SAP Predictive Analytics,,2.4.0,Grey List,Windows OS,,Locally management,, ,Analytics,Tommy Thomas,SAP, Yes ,No,,Pending,1/18/2017,,,Upload software to SSR,no review comment,"No public information available, recommended VT scan",,,,,,,,,,,,,Check installations and validate with App lead,,,,,Site restricted licensing,,,SAP Predictive Analytics 2.4.0 Windows OS,#N/A,#N/A,#N/A,,,,
SAP PLM Web UI,,,Green List,Windows OS,,Centrally management,, ,Global Technology (R&D),Michael David,SAP,No,No,No,No,1/18/2017,,,,no action required,"No information on CVEDetails, No vulnerability findings in Google",,,,,,,,,,,,,Check installations and validate with App lead,,,,,Global,,,SAP PLM Web UI  Windows OS,#N/A,#N/A,#N/A,,,,
MongoDB ODBC Driver,,1.3.0,Grey List,Windows OS,,Locally management,42011364,,Analytics,Sudhakar Mane,MongoDB,No,No,Yes,Pending,2/4/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,MongoDB ODBC Driver 1.3.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mendix Desktop Modeller,,7.7,Grey List,Windows OS,,Locally management,, Sudhakar Mane,Marketing,Sudhakar Mane,Mendix,No,No,,Pending,11/9/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Mendix Desktop Modeller 7.7 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Movitools motion studio,,6.4,Grey List,Windows OS,,Locally management,42107887,,Supply Chain,Aditya Agarwal,SEW,No,No,,Pending,8/25/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,Movitools motion studio 6.4 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MPA CTplus,,NA,Grey List,Windows OS,,Locally management,42193307,,Global Technology (R&D),Matthew Rodman,COURAGE + KHAZAKA electronic GmbH,No,No,,No,3/15/2021,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,MPA CTplus NA Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Homebrew,,4.2.20,Green List,Mac OS,,Freeware,SR-551996,Open Source,Conn. Health - DTC,Matthew Ramsey,"Open Source
",No,,,,5/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Snapshot Viewer for Microsoft Access,,10,Grey List,Windows OS,,Locally management,, ,HR & Training,RANJEEV LEHKAR,Microsoft,Yes,No,,Pending,8/6/2017,,,,no review comment,Latest available version 11.0. No publicly reported vulnerabiliy found in version 10,,,,,,,,,,,,,Check installations and validate with App lead,,,,,Site restricted licensing,Yes,,MS Snapshot Viewer for Microsoft Access 10 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Secure Doc,,2,Grey List,Windows OS,,Locally management,41819531,,Customer Development,Esme Basson,EUROCERT,No,No,,Pending,2/14/2019,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Secure Doc 2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IDS uEye,,4.96.1,Grey List,Windows OS,,Locally management,SR-374539,,Global Technology (R&D),Matthew Rodman,IDS Imaging Development Systems,No,No,,,12/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multipack,,4,Grey List,Windows OS,,Locally management,41610142, ,Supply Chain,Nicola Rautenbach,Multiscience GmbH,No,No,,Pending,12/12/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,Site restricted licensing,,,Multipack 4 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Multiwin,,4.12.1,Grey List,Windows OS,,Locally management,42154983,,Global Technology (R&D),Matthew Rodman,AnalytikJena,No,No,,Pending,12/9/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,Multiwin 4.12.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Myanmar Font Pack - Pyi Htaung Su,,,Green List,Windows OS,,Centrally management,,,W&CS ISM,Patty Vollmar,Myanmar Computer Federation,Yes,No,,No,1/15/2020,,None,no action required,no action required,"no matches in cvedetails, there are no specific mentions of any Adobe fonts or font packs with vulnerabilities that I can find.",https://www.cvedetails.com/,,,,,,,,,,,,Check installations and validate with App lead,,,,,Global,,,Myanmar Font Pack - Pyi Htaung Su  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MYSQL,,8.0.27.0,Grey List,Windows OS,,Locally management,42294742,,Marketing,Helen Kirwan,MYSQL,No,No,,,11/2/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,MYSQL 8.0.27.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MYSQL Connector/ODBC,,8.0.25,Grey List,Windows OS,,Centrally management,42228091,,Analytics,Tommy Thomas,Oracle,Yes,No,,No,5/21/2021,,,,,"42228091
https://aodocs.altirnao.com/?aodocs-domain=colpal.com&locale=en_US#Menu_viewDoc/LibraryId_SCHp23iuZXMJff84vk/DocumentId_SY3sGa6AgCprnGkCF1/ViewId_SCHqt9i6GiSkVPFHre
",,,,,,,,,,,Yes,APP - MySQL Connector/ODBC - Users - WIN,,Group managed,OnDemand,No,No,Global,,,MYSQL Connector/ODBC 8.0.25 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MYSQL Connector/ODBC,,8.3.0,Grey List,Windows OS,,Locally management,SR-474771,,Analytics,Tommy Thomas,Oracle,,,,,2/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSQL installer for Windows,,8.0.20,Grey List,Windows OS,,Locally management,42060589,,Supply Chain,Francisco Ramos,Oracle,NO,No,,Pending,5/6/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,MYSQL installer for Windows 8.0.20 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MyVGL,,3,Grey List,Windows OS,,Locally management,42044323,,Global Technology (R&D),Matthew Rodman,Volume Graphics,No,No,,Pending,4/9/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,MyVGL 3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nanoscope Analysis,,1.9,Grey List,Windows OS,,Locally management,42071537,,Global Technology (R&D),Matthew Rodman,Bruker,No,No,,Pending,6/1/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,Nanoscope Analysis 1.9 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NanoString N_Solver,,4,Grey List,Windows OS,,Centrally management,42111223,,Global Technology (R&D),Matthew Rodman,Nanostring,Yes,No,,No,8/28/2020,8/28/2020,,,no action required,no CVE's,,,,,,,,,,,Yes,APP - NanoString N_Solver 4.0 - Users - WIN,,Group managed,OnDemand,No,No,Global,,,NanoString N_Solver 4 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
National Instruments LabVIEW,,2019,Grey List,Windows OS,,Locally management,41920068,,Global Technology (R&D),Frank Peake,National Instruments,No,No,,Pending,9/4/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,National Instruments LabVIEW 2019 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NBR Player (Network Based Recording),,2,Grey List,Windows OS,,Locally management,42184913,,Finance,Francisco Galindo,Cisco Systems,No,No,,No,2/15/2021,4/13/2021,None,,,,,,,,,,,,,,,,,,,,,Check before installation,,,NBR Player (Network Based Recording) 2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NCA Layer v1.2,,1.2,Green List,Windows OS,,Centrally management,42236259,https://aodocs.altirnao.com/?locale=en_US&aodocs-domain=colpal.com#Menu_viewDoc/LibraryId_SCHp23iuZXMJff84vk/ViewId_SCHqt9i6GiSkVPFHre/DocumentId_SZpktwUsM6pefLYMke,Finance,Anne-Marie Fitzpatrick,"National Certification Authority of the Republic of Kazakhstan
https://pki.gov.kz/en/",Yes,No,,No,8/16/2021,,,,,,,,,,,,,,,,,,Check the ticket and identify the owner,,,,,Global,,,NCA Layer v1.2 1.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ImageSilo,,88.1.0.1,Grey List,Windows OS,,Locally management,SR-369564,,Supply Chain,Francisco Ramos,digitech system,No,No,,,12/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDI Tools,,5,Grey List,Windows OS,,Locally management,42339518,,GISSO Unified Communications,Ruben Panizza,"NewTek
",No,No,,,3/7/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,NDI Tools 5 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NDI Tools Studio Monitor,,NA,Grey List,Mac OS,,Locally management,42254873,To view NDI devices in the Studio,GISSO Unified Communications,Ruben Panizza,NDI Open Source,No,No,,No,9/17/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,NDI Tools Studio Monitor NA Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NemID program for DK VAT reporting,, 1.7.4.68080,Grey List,Windows OS,,Locally management,41794851, ,Finance,Anne-Marie Fitzpatrick,Nets,No,No,,Pending,1/2/2019,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,NemID program for DK VAT reporting  1.7.4.68080 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NET Framework,,4.6.2,Grey List,Windows OS,,Locally management,, ,Supply Chain,Nicola Rautenbach,Microsoft,No,No,Yes,Pending,8/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,Yes,,NET Framework 4.6.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Net Support Manager Control,,,Grey List,Windows OS,,Locally management,, ,HR & Training,RANJEEV LEHKAR,NetSupport,No,No,,Pending,8/6/2017,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Net Support Manager Control  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NetProfiler3,,3.3.11,Grey List,Windows OS,,Locally management,42193352,,Supply Chain,Simon Kendall,X-Rite,No,No,,No,3/3/2021,3/1/2021,None,,,,,,,,,,,,,,,,,,,,,Check before installation,,,NetProfiler3 3.3.11 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NetworkSurveillance,,1.0.2.2791,Grey List,Windows OS,,Locally management,42223760,,Supply Chain,Nicola Rautenbach,,No,No,,No,2/9/2021,5/18/2021,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,NetworkSurveillance 1.0.2.2791 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Neva call,,"2.7.1",Grey List,Windows OS,,Locally management,42234021,,Global Technology (R&D),Matthew Rodman,Ishikawa Iron Works,No,No,,No,6/8/2021,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,"Neva call 2.7.1 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New SITA-FoamLab,,3,Grey List,Windows OS,,Locally management,42284237,,Global Technology (R&D),Matthew Rodman,"sita-messtechnik",No,No,,No,10/7/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,New SITA-FoamLab 3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nex 6.20,,6.2,Grey List,Windows OS,,Locally management,42257017,,Supply Chain,Nicola Rautenbach,Rigaku Corporation,No,No,,No,8/2/2021,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,Nex 6.20 6.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nexium MSA,,11.21,Grey List,Windows OS,,Locally management,, ,Supply Chain,Maneerath Pornchuaykanchana,nexium,Yes,No,,Pending,8/6/2017,,,,no review comment,No much information available about this on public domain. Security scan is preferred ,,,,,,,,,,,,,Check installations and validate with App lead,,,,,Site restricted licensing,,,Nexium MSA 11.21 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NFC wirter门禁用户卡发卡工具,,1.06,Grey List,Windows OS,,Locally management,42236215,,Finance,Vijayalakshmi Chandrashekar,ZKT,No,No,,No,6/9/2021,6/16/2021,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,NFC wirter门禁用户卡发卡工具 1.06 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NI LabVIEW MathScript,,2019,Grey List,Windows OS,,Locally management,41920090,,Global Technology (R&D),Frank Peake,National Instruments,No,No,,Pending,9/4/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,NI LabVIEW MathScript 2019 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NI VISION,,2019,Grey List,Windows OS,,Locally management,41920069,,Global Technology (R&D),Frank Peake,National Instruments,No,No,,Pending,8/23/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,NI VISION 2019 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nielsen Answers 7.6.87 - Builder Module,,7.6.87,Grey List,Windows OS,,Locally management,42089247,,Marketing,Christopher Bardi,ACNielsen,Yes,No,,Pending,10/10/2019,,,,no review comment,,,,,,,,,,,,,APP - AC Nielsen Answers 7.6.87 - Users - WIN,,Group Managed,On Demand,No,No, ,,,Nielsen Answers 7.6.87 - Builder Module 7.6.87 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Spaceman,,14.0.0.19 x64,Grey List,Windows OS,,Locally management,42341996,,Customer Development,Aravind Tula,ACNielsen,No,No,,,2/28/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,AC Nielsen Spaceman 14.0.0.19 x64 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Spaceman,,14,Grey List,Windows OS,,Locally management,42307219,,Customer Development,Aravind Tula,ACNielsen,No,No,,,12/3/2021,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,AC Nielsen Spaceman 14 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NIST Database,,46,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,NIST,No,No,,Pending,8/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,NIST Database 46 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NMAP,,7.92,Grey List,Windows OS,,Locally management,42282363,,Information Security,Nikhil Chawla,nmap,No,No,,No,10/13/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,NMAP 7.92 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
U-Bank (China Merchant Bank),,11.2.0.33,Grey List,Windows OS,,Locally management,SR-487922,,Finance,Francisco Galindo,China Mechants Bank,No,,,,3/18/2024,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,U-Bank (China Merchant Bank) 11.2.0.33 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Node.js,,16.13.2,Green List,Mac OS,,Freeware,42329005,"Ok, OS",Open Source,open_source@colpal.com,Node.js,Yes,No,,,1/31/2022,,,,,,,,,,,,,,,,,NA,,,OnDemand,Yes,Yes,Freeware,,,Node.js 16.13.2 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Non Vision Desktop Access (NVDA from JAWS),,2019.1.1,Grey List,Windows OS,,Locally management,41869723,,Global Technology (R&D),Frank Peake,NVAccess Limited,No,No,,Pending,5/20/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Non Vision Desktop Access (NVDA from JAWS) 2019.1.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
tesaka,,1.2.2,Grey List,Windows OS,,Locally management,42296579,,Finance,Nirmala Iyer,set.gov.py,No,No,,,11/16/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,tesaka 1.2.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NovaLINK,,4,Grey List,Windows OS,,Locally management,,Last version found ins 5.4 as 03/13/2024,Finance,Reena Jose,Charm Sciences,No,No,,Pending,8/6/2017,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,NovaLINK 4 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NovaLink,,5.6.0.0,Grey List,Windows OS,,Locally management,42275289,Last version found ins 5.4 as 03/13/2024,Analytics,Tommy Thomas,Charm Sciences,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,NovaLink 5.6.0.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Testimony BOT,,"2.37.7877",Grey List,Windows OS,,Locally management,42271560,,Testing Center of Excellence,Rajasekhar Sadu,"Basis Technologies",No,No,,No,9/2/2021,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,"Testimony BOT 2.37.7877 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nprinting,,,Grey List,Windows OS,,Locally management,, ,Application Architecture - Portal - HANA, Steve Renard,Qlik,No,No,,Pending,8/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Nprinting  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
nRF Command Line Tools,,"12.12.2 Win64",Grey List,Windows OS,,Locally management,42232739,,Global Technology (R&D),Matthew Rodman,Nordic Semiconductor,No,No,,No,6/1/2021,6/4/2021,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,"nRF Command Line Tools 12.12.2 Win64 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
nRF Connect for Desktop,,4.4.0,Grey List,Mac OS,,Locally management,SR-501272,,Conn. Health - DTC,Kris O'Brien,Nordic Semiconductor,No,,,,4/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numerical,,6,Grey List,Windows OS,,Locally management,42286592,,Global Technology (R&D),Matthew Rodman,JBT,No,No,,No,10/8/2021,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Numerical 6 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NW Developer Studio for SAP PI,,Latest version with latest service pack,Grey List,Windows OS,,Locally management,, Suresh Shetty,GSSO XCAT,Suresh Shetty,SAP,No,No,,Pending,1/18/2018,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,NW Developer Studio for SAP PI Latest version with latest service pack Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NX,,,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,Siemens PLM Software,No,No,,Pending,8/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,NX  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NXPowerlite Desktop,,1,Grey List,Windows OS,,Locally management,41977096,,W&CS ISM,Patty Vollmar,Neuxpower,No,No,,Pending,12/3/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,NXPowerlite Desktop 1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Objet Studio,,9.2.11.6825,Grey List,Windows OS,,Locally management,42011908,,Global Technology (R&D),Frank Peake,Stratasys,No,No,,Pending,2/5/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Objet Studio 9.2.11.6825 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OBS Studio,,26.1.1,Grey List,Windows OS,,Locally management,42169263,,Marketing,Sudhakar Mane,OBS Project,No,No,,No,2/23/2021,3/16/2021,None,,,,,,,,,,,,,,,,,,,,,Check before installation,,,OBS Studio 26.1.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Observer XT,,15,Grey List,Windows OS,,Locally management,42181892,,Analytics,Tommy Thomas,Noldus,No,No,,No,2/8/2021,2/1/2021,None,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Observer XT 15 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Oculus,,"1.67.0.0
",Grey List,Windows OS,,Locally management,42334456,,Marketing,Christopher Bardi,Meta,No,No,,,2/11/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,"Oculus 1.67.0.0
 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ODBC driver for Snowflake,,2.24.3,Grey List,Windows OS,,Locally management,42301849,,Analytics,Tommy Thomas,Tableau,No,No,,,12/12/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,ODBC driver for Snowflake 2.24.3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
image studio,,5.5,Grey List,Windows OS,,Locally management,SR-497157, ,Global Technology (R&D),Matthew Rodman,LI-COR,No,No,,,3/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD toolbox (QSARToolbox),,,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,OECD,No,No,,Pending,8/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,OECD toolbox (QSARToolbox)  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OFD Reader增值税电子发票阅读器,,3,Grey List,Windows OS,,Locally management,42199147,,Finance,Vijayalakshmi Chandrashekar,Beijing gjswzj,No,No,,No,3/15/2021,4/15/2021,None,,,,,,,,,,,,,,,,,,,,,Check before installation,,,OFD Reader增值税电子发票阅读器 3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ignition Vision Client,,8.1.38,Grey List,Windows OS,,Locally management,SR-531270,,Supply Chain,Nicola Rautenbach,Inductive Automation,No,,,,4/25/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP ODBO Driver,,,Grey List,Windows OS,,Locally management,, ,Analytics,Tommy Thomas,SAP,No,No,Yes,Pending,1/18/2017,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,SAP ODBO Driver  Windows OS,#N/A,#N/A,#N/A,,,,
MongoShell Enterprise,,4.2.1,Grey List,Windows OS,,Locally management,41977839,,Analytics,Sudhakar Mane,Mongodb,No,No,,Pending,11/27/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,MongoShell Enterprise 4.2.1 Windows OS,#N/A,#N/A,#N/A,,,,
Microsoft Streets and Trips 2011,,2011,Grey List,Windows OS,,Locally management,, ,W&CS ISM,Jim Arcure,Microsoft, Yes ,No,,Pending,5/8/2018,,,,no review comment,Microsoft has discontinued Streets & Trips in 2013.,,,,,,,,,,,No,,Validate with App lead,,,,,Site restricted licensing,Yes,,Microsoft Streets and Trips 2011 2011 Windows OS,#N/A,#N/A,#N/A,,,,
"Microsoft Excel, Word & PowerPoint 2021 STD 32bit",,2021,Grey List,Windows OS,,Centrally management,INC-57621,,W&CS E2E,Jim Arcure,Microsoft,Yes,No,,,4/14/2023,,,,,,,,,,,,,,,,Yes,"APP - Microsoft Excel, Word & PPT 2021 STD 32bit (matchOS) - Users - WIN",,Group Managed,On Demand,No,No,,,,,,,,,,,
OfficeBlindsService,,1.1.0,Green List,Windows OS,,Centrally management,, ,Collaboration,Jim Arcure,Colgate Palmolive,Yes,Yes,,No,7/21/2020,,,,internal CP app,image team,,,,,,,,,,,Yes,NA,Hiden from the Hub,,Auto,Yes,Hidden,Global,,,OfficeBlindsService 1.1.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OmGui,,1.0.0.43,Grey List,Windows OS,,Locally management,42287627,,Global Technology (R&D),Matthew Rodman,Open Movement,No,No,,,10/25/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,OmGui 1.0.0.43 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OMGUI 42 (AX3),,,Grey List,Windows OS,,Locally management,41904530,,Global Technology (R&D),Frank Peake,Open Movement,No,No,,Pending,7/29/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,OMGUI 42 (AX3)  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OmicsBox,,1.1.78,Grey List,Windows OS,,Locally management,41903676,,Global Technology (R&D),Frank Peake,Biobam,No,No,,Pending,7/25/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,OmicsBox 1.1.78 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Omicsbox,,1.4.3,Grey List,Windows OS,,Locally management,42124398,,Global Technology (R&D),Matthew Rodman,Biobam,No,No,,Pending,9/28/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,Omicsbox 1.4.3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Omnis,,4.0,Grey List,Windows OS,,Locally management,SR-528177,,Global Technology (R&D),Frank Peake,Metrohm,No,,,,4/29/2024,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,Site restricted licensing,,,Omnis 4.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Oncologic,,8,Grey List,Windows OS,,Locally management,42170291, ,Global Technology (R&D),Frank Peake,Oncologic,No,No,,No,1/13/2021,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Oncologic 8 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Oncologic,,9,Grey List,Windows OS,,Locally management,42197399,,Global Technology (R&D),Matthew Rodman,Oncologic,No,No,,No,3/11/2021,4/1/2021,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,Oncologic 9 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
VersaWorks Dual (Software RIP),,latest ,Grey List,Windows OS,,Locally management,42163054,,Global Technology (R&D),Matthew Rodman,Roland,No,No,,Pending,12/23/2020,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,VersaWorks Dual (Software RIP) latest  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Onesource Thomson Reuters,,,Grey List,Windows OS,,Locally management,, ,Finance,Anne-Marie Fitzpatrick,Thomson Reuters,No,No,,Pending,8/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Onesource Thomson Reuters  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
